st_nm,Maximum Temperature
Andhra Pradesh,41.834293333333335
Arunachal Pradesh,36.817550000000004
Assam,36.963385714285714
Bihar,39.89076666666667
Chhattisgarh,43.40262
Gujarat,42.55569230769231
Haryana,45.618966666666665
Himachal Pradesh,34.009366666666665
Jammu and Kashmir,33.8139
Jharkhand,41.34435
Karnataka,38.2663705882353
Kerala,37.9418
Ladakh,33.01905
Madhya Pradesh,44.62746153846154
Maharashtra,42.65981923076923
Manipur,36.28685
Meghalaya,33.830333333333336
Mizoram,37.4563
Nagaland,37.098650000000006
Odisha,41.317616666666666
Punjab,44.37665
Rajasthan,45.45931875
Sikkim,30.0451
Tamil Nadu,37.95695833333333
Telangana,44.40905
Tripura,35.4636
Uttar Pradesh,44.526354166666664
Uttarakhand,35.93015
West Bengal,38.16652857142857
